energy,total,Mg_s,Mg_p,O_s,O_p
8.0,0.00011374678825703326,2.218123770568143e-05,3.5053574042218915e-05,8.84318555306378e-06,4.7668790956069126e-05
7.99,0.0001257073901004738,2.4397926123775105e-05,3.8872361593417944e-05,9.819703238071439e-06,5.2617399145209324e-05
7.98,0.00013790795510791403,2.6633649573745498e-05,4.2795213812137536e-05,1.0827703806272232e-05,5.765138791575876e-05
7.970000000000001,0.0001502478380012257,2.8867215489984153e-05,4.6792170587877044e-05,1.186068692053418e-05,6.272776500283033e-05
7.960000000000001,0.00016263206566492685,3.107906388464269e-05,5.083431597514893e-05,1.291247556170247e-05,6.780621024343276e-05
7.950000000000001,0.00017497474928801737,3.325196968228444e-05,5.4894803758529785e-05,1.3977451603516461e-05,7.285052424368669e-05
7.940000000000001,0.0001872017569432759,3.53715736899229e-05,5.8949691299887574e-05,1.505074008818697e-05,7.782975186527845e-05
7.9300000000000015,0.00019925251324494868,3.742671660999666e-05,6.297853899986047e-05,1.612833264849973e-05,8.271892498659181e-05
7.920000000000002,0.00021108087252005191,3.940956809707789e-05,6.696475464734715e-05,1.720714620750852e-05,8.749940356811833e-05
7.910000000000002,0.00022265509096857955,4.13155599767713e-05,7.089568413593454e-05,1.828501873979969e-05,9.215882811607405e-05
7.900000000000002,0.00023395699329463226,4.314314761318322e-05,7.476247014507299e-05,1.936064890134132e-05,9.66907266350347e-05
7.890000000000002,0.00024498048373585075,4.489343466339733e-05,7.855971651475461e-05,2.0433490253347984e-05,0.00010109384230435085
7.880000000000003,0.00025572958621755367,4.65697032779513e-05,8.228500693660307e-05,2.1503613318353692e-05,0.0001053712626846456
7.870000000000003,0.00026621621214780437,4.81768939813517e-05,8.593833173754015e-05,2.257154970780246e-05,0.00010952943672111008
7.860000000000003,0.00027645784837465907,4.972107734463529e-05,8.952147616194192e-05,2.3638132130625363e-05,0.00011357716273745651
